imdbId,tvdbId,tmdbId
tt0221973,,981404
tt0800966,102079,49484
tt0423907,,1479171
tt2404452,,1172787
tt0217725,244523,550308
tt0314719,101405,147598
tt1045003,,1193949
tt0287156,,361030
tt0007466,,901445
tt0201298,,764780
tt0143214,,623921
tt0923798,102685,147975
tt0041892,103869,150500
tt0070296,231623,243372
tt0033091,212926,53597
tt5885588,,425647
tt5526546,281006,388706
tt0120129,195433,467261
tt6450752,11836,459159
tt0111933,212801,52457
tt6004148,118061,442720
tt0183386,,1203969
tt13120626,,768799
tt0432568,,985806
tt1665963,,175463
tt0014997,225158,228488
tt0228941,,1252716
tt0124601,100432,179453
tt0446307,161251,73450
tt21405632,,1028831
tt0011131,,3017
tt1522130,178620,22785
tt0015673,99297,51892
tt2217767,105803,32062
tt0078503,22976,2186
tt0396959,102101,26753
tt0130445,49307,13795
tt0008133,9845,47653
tt0009018,11467,36208
tt0169173,24006,1386
tt0005571,26353,50775
tt0038059,,240392
tt0034263,,32939
tt0309121,,89672
tt0215817,,49298
tt0013341,33977,81443
tt0101349,74681,54220
tt0012499,39530,44405
tt0043980,100864,103956
tt0000628,97456,132394
tt2028578,166543,84346
tt0004277,59273,53374
tt0036544,42953,97745
tt0059613,75409,34063
tt0088919,22469,18493
tt0321750,42152,69328
tt0489102,41895,27812
tt0182014,69207,53981
tt0002126,220742,193835
tt0395983,,195635
tt0022462,24727,49836
tt0012570,20261,51362
tt0223084,,212391
tt0002569,55640,132521
tt0004550,192855,268252
tt0223884,90427,190694
tt0227419,,106815
tt0294959,33929,69559
tt0170232,71331,18888
tt0221213,244866,408872
tt0092107,204561,466809
tt0003509,,941800
tt0067077,,47202
tt0008401,72850,53723
tt0002639,,139280
tt0002184,,370119
tt0322521,,1102501
tt0001460,223618,487459
tt0244303,124671,62526
tt0270291,31473,17699
tt0225434,83135,21714
tt0301300,164769,376730
tt0083975,,351843
tt0123860,70346,32533
tt0000306,,195626
tt1121927,198166,107655
tt0374560,156496,75448
tt1712185,29015,1372658
tt0036268,50068,100823
tt0387522,,107534
tt0007250,,986502
tt0334372,47900,179129
tt0004747,223790,267320
tt0204701,,1209182
tt0133277,,268257
tt1419113,,53268
tt0000576,110850,48600
tt2011110,73965,307732
tt0002007,,931210
tt0419608,,934073
tt0059807,105965,48441
tt2225782,68884,142724
tt0425928,220601,191995
tt2341886,,941219
tt0012008,224655,334784
tt0342438,,941246
tt0172755,,941266
tt0345738,,906402
tt0470335,,942348
tt0366749,,941486
tt0892335,,1125675
tt1862121,,539493
tt0104032,91276,244745
tt5452780,2724,460793
tt3725874,281933,400046
tt4392160,,382003
tt0211193,,257552
tt0045728,90283,145990
tt11194634,144666,660851
tt15340244,,865333
tt15292714,,1233758
tt0065114,,346962
tt0262727,186694,223046
tt0050896,80892,203093
tt2066145,103918,168616
tt0475655,220205,186866
tt0467029,,289221
tt4242904,189396,359170
tt4433416,,1336013
tt33397509,,1360704
tt0042384,23310,45966
tt0283875,,38183
tt0002553,83206,98056
tt0224240,47429,104702
tt0106961,40768,47981
tt0049380,48302,243044
tt0317852,215942,104894
tt0951196,267101,407426
tt0044821,24362,54184
tt0045719,99789,65421
tt0000833,83137,36874
tt0859631,213635,58919
tt0234588,17614,32536
tt0811058,105291,157974
tt1352357,,44120
tt0006309,37584,53409
tt0000877,56785,322063
tt0016591,,40784
tt0132683,221296,202104
tt0208741,,282389
tt0246482,,228669
tt0154503,77082,48818
tt0227175,,190609
tt0223029,99314,196293
tt1282015,33903,35568
tt0277839,,233024
tt0003566,223729,267147
tt1039997,123268,335163
tt1064851,176796,209713
tt0940502,99402,48780
tt0007809,212940,53660
tt0199546,204903,222181
tt0015862,145181,947583
tt0009179,145108,175078
tt0010321,49584,53627
tt0001333,223596,487661
tt0202815,25342,96035
tt0001927,,488423
tt0367989,49533,48859
tt0302917,,48777
tt0159391,21942,31091
tt0215690,,464653
tt0443491,210956,261140
tt0008203,212943,53666
tt0059369,105810,46780
tt0061990,172555,243315
tt0125118,79558,49485
tt0058457,230621,313028
tt0076700,232188,243615
tt0254800,249034,407461
tt0240423,65179,152216
tt0266643,101784,178522
tt0177110,,264384
tt0048656,55021,62832
tt0000036,154784,146580
tt2339633,,965638
tt0450067,169540,193623
tt0021120,,234042
tt0379830,176909,190676
tt2221310,,267210
tt0002779,,984817
tt1219675,211770,44356
tt1152749,,884186
tt0415520,,497299
tt0006732,,901491
tt3646668,,436462
tt0248068,,347473
tt0246040,,946482
tt0246242,,321841
tt0434572,,986742
tt0405015,,238687
tt0043447,229066,242974
tt0046554,229386,243002
tt5201232,,1231999
tt0232229,,195702
tt5425066,279068,363725
tt0177288,,282513
tt0330222,175959,253402
tt3643208,16015,264170
tt5926890,74428,442160
tt0451435,,196372
tt0028441,90795,151867
tt10499574,181609,609544
tt0065027,200465,249052
tt1927152,196626,356980
tt7735190,24631,557264
tt12476930,174320,715933
tt10442130,,622378
tt2392399,113868,290878
tt2086857,95281,202349
tt0209102,,51382
tt0134096,,489917
tt2555896,270139,254190
tt0283599,251885,354497
tt1780788,275953,328256
tt0823697,,299946
tt0345440,,49181
tt1735927,278876,361175
tt39821441,,1641807
tt27951221,,1300430
tt0020530,5334,626
tt1964446,127340,91516
tt0000575,71150,114136
tt0007880,17470,47650
tt0014694,29506,107011
tt0309402,74851,155107
tt0022630,34397,44891
tt0049095,103123,49701
tt0002143,,130523
tt0007162,17054,2078
tt0336693,34550,44065
tt0972356,70450,30329
tt0034666,217237,131801
tt0105311,36481,48581
tt1323941,30649,46343
tt0274518,36461,33380
tt0068793,104611,243363
tt0041618,87563,103983
tt0203853,69746,186019
tt1047855,,204183
tt0014658,,374133
tt0350698,103302,119968
tt0306714,27940,104391
tt0252424,,1118724
tt0208513,,470712
tt0168118,,204017
tt0060909,103344,129970
tt0007486,,901342
tt0076857,88314,117488
tt0143000,109194,107296
tt0018356,64406,50902
tt12324866,273784,305667
tt0007764,49596,53671
tt0010072,55946,174992
tt0200702,,762304
tt0006965,212955,53730
tt0851542,,937184
tt0001789,145055,190883
tt0002523,53419,193857
tt0467051,,918532
tt0159144,46497,48446
tt0000151,,415825
tt1362562,208875,404143
tt0233295,220425,189929
tt0000167,,201406
tt1509637,116514,81233
tt0276587,,456978
tt0444064,262137,467621
tt0032549,124067,32282
tt1221898,284027,426703
tt0195141,122385,54736
tt1504691,58179,66178
tt0262711,100909,20183
tt0021275,154629,144788
tt0431405,75038,49777
tt2355198,86236,391521
tt1816684,284826,436207
tt0378863,,939223
tt0342298,,347930
tt1488143,,950535
tt0492201,,917330
tt0006125,,918573
tt0001185,,297446
tt1999864,,415556
tt0209930,,3174
tt0222242,,403265
tt0235045,,44325
tt0425844,,941774
tt0378387,258545,389493
